每月對照使用,直飲臺編號,轄區分處,市別,場所別,場所次分類,所屬單位,場所名稱,地址,行政區,維護單位,連絡電話,場所開放時間,設置地點,經度,緯度,狀態,狀態異動日期時間,最近採樣日期時間,大腸桿菌數,水質及維護資訊網址,直飲台照片網址
0131h,0131h,南區,臺北市,機關,臺北自來水事業處,臺北自來水事業處,北水處長興淨水場淨水大樓1樓,臺北市大安區長興街131號,大安,北水處水質科,87335687,0:00~24:00,淨水大樓1樓,121.548456,25.014828,正常,20211201T090000,20260112T101500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0131h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0131h.JPG
0131k,0131k,南區,新北市,機關,臺北自來水事業處,臺北自來水事業處,北水處教育中心教室旁,新北市新店區直潭路2號,新店,北水處教育中心教室旁,83695171,0:00~24:00,教室旁,121.528263,24.940303,正常,20211201T090000,20260112T120500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0131k,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0131k.JPG
0132a,0132a,南區,新北市,機關,臺北自來水事業處,臺北自來水事業處,北水處直潭淨水場中控大樓,新北市新店區直潭路2號,新店,北水處直潭淨水場,26668471轉516,0:00~24:00,中控大樓,121.527821,24.941067,正常,20211201T090000,20260112T114600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0132a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0132a.JPG
0132b,0132b,南區,新北市,機關,臺北自來水事業處,臺北自來水事業處,北水處直潭淨水場中控大樓,新北市新店區直潭路2號,新店,北水處直潭淨水場,26668471轉516,0:00~24:00,中控大樓,121.527821,24.941067,正常,20211201T090000,20260112T112500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0132b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0132b.JPG
0158a,0158a,南區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,東門站,臺北市中正區信義路二段101號與金山南路1段口,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1、3號出口間,121.527621,25.034183,正常,20211201T090000,20260303T101000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0158a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0158a.JPG
0158b,0158b,南區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,東門站,臺北市中正區信義路二段101號與金山南路1段口,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1、3號出口間,121.527621,25.034183,正常,20211201T090000,20260303T101500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0158b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0158b.JPG
0227a,0227a,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號,萬華,工務局公園處青年管理所,27003830,0:00~24:00,愛心園地,121.506281,25.025879,正常,20211201T090000,20260105T095600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227a.JPG
0227b,0227b,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路176號對面(兒童遊憩區),萬華,工務局公園處青年管理所,27003830,0:00~24:00,四號門兒童遊戲區左側,121.503226,25.021047,正常,20260414T000000,20260105T094100,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227b.JPG
0227d,0227d,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號,萬華,工務局公園處青年管理所,27003830,0:00~24:00,籃球場旁,121.504870,25.020720,正常,20211201T090000,20260105T092300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227d,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227d.JPG
0227e,0227e,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號(防災公園),萬華,工務局公園處青年管理所,27003830,0:00~24:00,水源路跑道旁,121.504442,25.020395,正常,20260414T000000,20260105T092800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227e,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227e.JPG
0227f,0227f,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路190號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,兒童溜滑梯沙坑旁,121.504050,25.020456,正常,20211201T090000,20260105T093700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227f,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227f.JPG
0227g,0227g,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路96號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,棒球場入口廣場座椅旁,121.502871,25.022893,正常,20260414T000000,20260105T094600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227g,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227g.JPG
0227h,0227h,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路196號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,馬場町紀念公園水門入口對面,121.504153,25.020133,正常,20211201T090000,20260105T093200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227h.JPG
0227i,0227i,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路50號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,太陽能圖書管入口廣場旁,121.504006,25.025154,正常,20260414T000000,20260105T095100,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227i,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227i.JPG
0227j,0227j,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號,萬華,工務局公園處青年管理所,27003830,0:00~24:00,泳池旁,121.506237,25.023712,正常,20211201T090000,20260105T100300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227j,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227j.JPG
0258,0258,西區,臺北市,場館,文化局,財團法人臺北市文化基金會,剝皮寮歷史街區,臺北市萬華區廣州街129-1號廣場,萬華,剝皮寮歷史街區西側,,0:00~24:00,剝皮寮歷史街區,121.502531,25.036644,正常,20260414T000000,20260211T112400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0258,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0258.JPG
0261,0261,西區,臺北市,公園步道,公園處,工務局公園處,西本願寺,臺北市萬華區長沙街2段13號對面,萬華,工務局公園處園藝工程隊,23815132＃318,0:00~24:00,長沙街二段13號對面,121.506827,25.040455,正常,20220113T100000,20260105T104600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0261,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0261.JPG
0261a,0261a,西區,臺北市,公園步道,公園處,工務局公園處,西本願寺,臺北市萬華區長沙街二段21號對面,萬華,工務局公園處園藝工程隊,23815132＃318,0:00~24:00,人行道旁,121.506796,25.040552,正常,20220113T100000,20260105T104300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0261a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0261a.JPG
