行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
士林,臺北市立士林運動中心,臺北市士林區士商路1號,臺北市立士林運動中心,(02)28806066,06:00~22:00,6,中心內,25.0893,121.5215
大同,臺北市立大同運動中心,臺北市大同區大龍街51號,臺北市立大同運動中心,(02)25920055,06:00~22:00,6,中心內,25.0652,121.5163
大安,臺北市立大安運動中心,臺北市大安區辛亥路3段55號,臺北市立大安運動中心,(02)23770300,06:00~22:00,11,中心內,25.0207,121.5457
中山,臺北市立中山運動中心,臺北市中山區中山北路二段44巷2號,臺北市立中山運動中心,(02)25811060,06:00~22:00,4,中心內,25.0548,121.5213
中正,臺北市立中正運動中心,臺北市中正區信義路一段一號,臺北市立中正運動中心,(02)33225016,06:00~22:00,11,中心內,25.0384,121.5194
內湖,臺北市立內湖運動中心,臺北市內湖區洲子街12號,臺北市立內湖運動中心,(02)26277776,06:00~22:00,7,中心內,25.0781,121.5747
文山,臺北市立文山運動中心,臺北市文山區興隆路3段222號,臺北市立文山運動中心,(02)22308268,06:00~22:00,7,中心內,24.997,121.5594
北投,臺北市立北投運動中心,臺北市北投區石牌路一段39巷100號,臺北市立北投運動中心,(02)28202880,06:00~22:00,4,中心內,25.1165,121.5098
松山,臺北市立松山運動中心,臺北市松山區敦化北路一號,臺北市立松山運動中心,(02)66176789,06:00~22:00,4,中心內,25.0485,121.5503
信義,臺北市立信義運動中心,臺北市信義區松勤路100號,臺北市立信義運動中心,(02)87861911,06:00~22:00,5,中心內,25.0316,121.5667
南港,臺北市立南港運動中心,臺北市南港區玉成街69號,臺北市立南港運動中心,(02)22536279,06:00~22:00,9,中心內,25.0487,121.5818
萬華,臺北市立萬華運動中心,臺北市萬華區西寧南路6之1號,臺北市立萬華運動中心,(02)23818878,06:00~22:00,5,中心內,25.0474,121.5066
文山,臺北市立圖書館力行分館,臺北市文山區一壽街22號5~8樓,臺北市立圖書館力行分館,(02)86612196,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,24.9796,121.5563
松山,臺北市立圖書館三民分館,臺北市松山區民生東路五段163之1號5、6樓,臺北市立圖書館三民分館,(02)27600408,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0592,121.5628
信義,臺北市立圖書館三興分館,臺北市信義區吳興街156巷6號4~5樓,臺北市立圖書館三興分館,(02)87321063,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.029,121.5611
