序號,,聯絡地址,商店編號,綠色商店名稱,聯絡電話,分機,手機號碼,綠色商店類型,,,,,,
1,,111台北市士林區基河路128號,A000204,7-11OPEN門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,數量
2,,112台北市北投區中央北路4段513號,A000208,7-11一德門市,(02)27478711,3961,,連鎖型綠色商店,,,,便利商店,7-ELEVEN,684
3,,103台北市大同區承德路3段53號,A000808,7-11三德門市,(02)27478711,3961,,連鎖型綠色商店,,,,,全家,374
4,,111台北市士林區劍潭路15號,A000291,7-11三樂門市,(02)27478711,3961,,連鎖型綠色商店,,,,,萊爾富,262
5,,110台北市信義區吳興街156巷16弄1號,A000357,7-11三興門市,(02)27478711,3961,,連鎖型綠色商店,,,,3C／家電通路,全國電子,35
6,,105台北市松山區敦化北路168號B2,A000746,7-11上弘門市,(02)27478711,3961,,連鎖型綠色商店,,,,,燦坤,48
7,,100台北市中正區林森南路4號之3,A000432,7-11千成門市,(02)27478711,3961,,連鎖型綠色商店,,,,,大同綜合訊電,20
8,,100台北市中正區公園路18號,A000787,7-11千翔門市,(02)27478711,3961,,連鎖型綠色商店,,,,通訊服務,中華電信,48
9,,111台北市士林區士東路48號,A000529,7-11士東門市,(02)27478711,3961,,連鎖型綠色商店,,,,4) 量販／超市／零售,頂好Wellcome,75
10,,111台北市士林區中正路503號,A000597,7-11士陽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,全聯,0
11,,111台北市士林區文林路102號B1,A000512,7-11士鑽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,家樂福,1
12,,112台北市北投區中央南路一段114號,A000805,7-11大中門市,(02)27478711,3961,,連鎖型綠色商店,,,,,大潤發,3
13,,106台北市大安區新生南路3段94巷3號,A000589,7-11大台門市,(02)27478711,3961,,連鎖型綠色商店,,,,5) 汽車／交通相關,北都汽車,18
14,,100台北市中正區博愛路97號1樓,A000836,7-11大永博門市,(02)27478711,3961,,連鎖型綠色商店,,,,,台象股份有限公司（需依實際業別確認）,0
15,,104台北市中山區吉林路101號,A000880,7-11大吉門市,(02)27478711,3961,,連鎖型綠色商店,,,,6) 美妝／生活百貨,寶雅,0
16,,106台北市大安區忠孝東路四段77號(捷運地下街5號店鋪),A000401,7-11大安門市,(02)27478711,3961,,連鎖型綠色商店,,,,7) 五金／居家用品,振宇五金,1
17,,105台北市松山區南京東路5段104號,A000198,7-11大昇門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,1569
18,,106台北市大安區信義路三段33號,A000344,7-11大信門市,(02)27478711,3961,,連鎖型綠色商店,,,,8) 其他零售／未分類品牌,,71
19,,108台北市萬華區中華路2段34號,A000209,7-11大埔門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
20,,114台北市內湖區陽光街298號,A000313,7-11大眾門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
21,,106台北市大安區敦化南路2段63巷24號,A000462,7-11大敦門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
22,,108台北市萬華區萬大路495.497號,A000230,7-11大華門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
23,,111台北市士林區德行東路109巷81號,A000280,7-11大葉門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
24,,105台北市中山區大直街11號,A000613,7-11大運門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
25,,114台北市內湖區舊宗路128號,A000800,7-11大潤發門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
26,,103台北市大同區昌吉街72.74.76號,A000570,7-11大龍門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
27,,105台北市松山區南京東路4段2號1樓第10櫃位,A000429,7-11小巨蛋門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
28,,106台北市大安區羅斯福路4段1號2樓(台灣大學小福樓),A000470,7-11小福樓門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
29,,115台北市南港區中坡南路15號,A000308,7-11中坡門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
30,,100台北市中正區林森南路12號,A000262,7-11中航門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
31,,105台北市松山區八德路3段27號,A000582,7-11中崙門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
32,,112台北市北投區中央北路3段2號,A000258,7-11中陽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
33,,100台北市中正區愛國東路102號,A000535,7-11中愛門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
34,,108台北市萬華區中華路2段6(02)1-2號一樓,A000615,7-11中寧門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
35,,104台北市中山區民生東路2段113號.,A000214,7-11中福門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
36,,106台北市大安區仁愛路三段25-1.27號,A000755,7-11中廣門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
37,,111台北市士林區至善路二段34號,A000446,7-11中影門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
38,,100台北市中正區延平南路47號,A000195,7-11中樂門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
39,,110台北市信義區基隆路2段22號,A000847,7-11中興門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
40,,103台北市大同區鄭州路145號B1,A000645,7-11中興醫門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
41,,104台北市中山區中山北路二段98號,A000483,7-11中錦門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
42,,100台北市中正區杭州南路一段83號,A000890,7-11丹陽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
43,,111台北市士林區文林路530號,A000320,7-11丹樺門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
44,,106台北市大安區仁愛路四段27巷1號,A000789,7-11仁安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
45,,110台北市信義區正和里光復南路419巷41號,A000525,7-11仁和門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
46,,100台北市中正區仁愛路二段39.39-1號,A000855,7-11仁金門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
47,,104台北市中山區復興北路148號,A000788,7-11元大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
48,,108台北市萬華區漢口街二段56號,A000279,7-11六福門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
49,,112台北市北投區公館路31號,A000436,7-11公館門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
50,,111台北市士林區社中街214號,A000619,7-11友成門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
51,,111台北市士林區天母北路12號,A000865,7-11天北門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
52,,111台北市士林區忠誠路二段168號1樓,A000840,7-11天成門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
53,,111台北市士林區中山北路7段14巷2-1號,A000196,7-11天東門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
54,,104台北市中山區天津街65號,A000687,7-11天津門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
55,,111台北市士林區天母東路8巷98號,A000797,7-11天美門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
56,,111台北市士林區中山北路7段126號,A000637,7-11天真門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
57,,111台北市士林區天母西路5巷6號,A000518,7-11天麥門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
58,,112台北市北投區富貴一路3號1樓,A000828,7-11天富門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
59,,111台北市士林區天母東路50巷25號,A000793,7-11天越門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
60,,111台北市士林區中山北路七段156號1樓,A000815,7-11天裕門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
61,,111台北市士林區天母東路8巷31弄2號,A000750,7-11天福門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
62,,111台北市士林區天利里天母東路109號一樓,A000677,7-11天樂門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
63,,111台北市士林區天玉街8號,A000627,7-11天鑫門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
64,,111台北市士林區華岡路47巷1號,A000704,7-11太學門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
65,,116台北市文山區木新路三段327號,A000711,7-11文一門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
66,,111台北市士林區格致路57號,A000420,7-11文大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
67,,116台北市文山區木新路二段42號,A000316,7-11文山門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
68,,116台北市文山區忠順街二段16號,A000688,7-11文忠門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
69,,111台北市士林區文林路169號,A000240,7-11文林門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
70,,116台北市文山區樟新里木新路三段276號,A000622,7-11文新門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
71,,116台北市文山區木新路三段54.56號,A000601,7-11文儀門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
72,,114台北市內湖區瑞光路76巷59號1樓,A000864,7-11日內瓦門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
73,,116台北市文山區木柵路2段157號,A000257,7-11木柵門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
74,,116台北市文山區木柵路三段88號,A000263,7-11木盛門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
75,,116台北市文山區木新路2段255號,A000235,7-11木新門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
76,,116台北市文山區木柵路1段17巷1號,A000636,7-11世新大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
77,,108台北市萬華區昆明街81.83號,A000769,7-11世運門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
78,,106台北市大安區忠孝東路4段223巷42號,A000819,7-11仕吉門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
79,,116台北市文山區仙岩路18號,A000632,7-11仙岩門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
80,,111台北市士林區美崙街112號一樓,A000625,7-11冬樂門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
81,,112台北市北投區中和街222號,A000427,7-11北投門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
82,,110台北市信義區松仁路160號,A000550,7-11北府門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
83,,106台北市大安區忠孝東路3段1號(台北科技大學大川堂),A000477,7-11北科大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
84,,100台北市中正區北平西路3號B1,A000888,7-11北高鐵門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
85,,112台北市北投區石牌路二段201號(榮民總醫院生活廣場),A000741,7-11北榮門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
86,,116台北市文山區興旺里福興路20號,A000448,7-11北福興門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
87,,110台北市信義區吳興街250號1樓,A000846,7-11北醫大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
88,,110台北市信義區吳興街252號,A000823,7-11北醫門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
89,,105台北市松山區北寧路66號,A000747,7-11北體門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
90,,103台北市大同區民生西路95.97號,A000438,7-11仟發門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
91,,106台北市中正區汀州路2段216號,A000233,7-11古亭門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
92,,100台北市中正區林森南路53.55號,A000774,7-11台大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
93,,100台北市中正區常德街1號,A000583,7-11台大醫門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
