編號,回收站名稱,行政區,行政區代碼,地址
1,凱廈社區資源回收站,信義區,63000020,臺北市信義區松德路89號
2,莒光新城B區資源回收站,萬華區,63000070,臺北市萬華區西藏路127號
3,大紐約公寓大廈資源回收站,士林區,63000110,臺北市士林區中正路458號
4,大直晶點A區資源回收站,內湖區,63000100,臺北市內湖區內湖路一段91巷102弄16號
5,大直晶點B區資源回收站,內湖區,63000100,臺北市內湖區內湖路一段91巷102弄16號
6,誠一國宅甲資源回收站,松山區,63000010,臺北市松山區健康路329號
7,誠一國宅乙資源回收站,松山區,63000010,臺北市松山區健康路329號
8,誠一國宅丙資源回收站,松山區,63000010,臺北市松山區健康路329號
9,健安新城C1區資源回收站,松山區,63000010,臺北市松山區三民路43巷11號
10,健安新城C2區資源回收站,松山區,63000010,臺北市松山區三民路43巷13號
11,健安新城E區資源回收站,松山區,63000010,臺北市松山區三民路35巷1號
12,健安新城F1區資源回收站,松山區,63000010,臺北市松山區三民路29巷1號
13,健安新城F2區資源回收站,松山區,63000010,臺北市松山區三民路29巷13號
14,健康新城A1區資源回收站,松山區,63000010,臺北市松山區延壽街330巷17弄2號
15,健康新城A2區資源回收站,松山區,63000010,臺北市松山區延壽街330巷17弄2號
16,健康新城C1區資源回收站,松山區,63000010,臺北市松山區健康路185巷12號
17,健康新城C2區資源回收站,松山區,63000010,臺北市松山區健康路185巷20號
18,健康新城D1區資源回收站,松山區,63000010,臺北市松山區健康路185巷16號
19,健康新城D2區資源回收站,松山區,63000010,臺北市松山區健康路185巷22號
20,EAT時尚館1區資源回收站,信義區,63000020,臺北市信義區忠孝東路5段365號
21,EAT時尚館2區資源回收站,信義區,63000020,臺北市信義區忠孝東路5段365號
22,水源麗景社區A區資源回收站,中正區,63000050,臺北市中正區水源路39號
23,水源麗景社區B區資源回收站,中正區,63000050,臺北市中正區水源路45號
24,富比世廣場A區資源回收站,信義區,63000020,臺北市信義區松仁路242~266號
25,富比世廣場B區資源回收站,信義區,63000020,臺北市信義區松仁路242~266號
26,永吉大樓資源回收站,信義區,63000020,臺北市信義區永吉路302號
27,成功之裔資源回收站,內湖區,63000100,臺北市內湖區民權東路6段123巷34弄9號
28,莒光新城A區資源回收站,萬華區,63000070,臺北市萬華區西藏路127號
29,莒光新城C區資源回收站,萬華區,63000070,臺北市萬華區西藏路127號
30,莒光新城D區資源回收站,萬華區,63000070,臺北市萬華區西藏路127號
31,莒光新城E區資源回收站,萬華區,63000070,臺北市萬華區西藏路127號
32,當代大廈資源回收站,中山區,63000040,臺北市中山區長安西路16號
33,師大禮居資源回收站,大安區,63000030,臺北市大安區和平東路1段115號
34,雅苑社區A區資源回收站,內湖區,63000100,臺北市內湖區康寧路一段290號
35,雅苑社區B區資源回收站,內湖區,63000100,臺北市內湖區康寧路一段290號
36,觀星台北C區資源回收站,文山區,63000080,臺北市文山區木柵路二段109巷100弄10號
37,觀星台北D區資源回收站,文山區,63000080,臺北市文山區木柵路二段109巷100弄10號
38,敦北翠苑資源回收站,松山區,63000010,臺北市松山區敦化北路199巷8-4號1樓
39,國賓藝術A區資源回收站,中山區,63000040,臺北市中山區中山北路二段59巷45號
40,國賓藝術B區資源回收站,中山區,63000040,臺北市中山區中山北路二段59巷45號
41,世貿內閣大廈資源回收站,信義區,63000020,臺北市信義區松德路65號
42,翡翠山林社區資源回收站,南港區,63000090,臺北市南港區中坡南路49巷1-7號
43,戀戀台大大廈資源回收站,中正區,63000050,臺北市中正區羅斯福路四段68號
44,信義凱悅大廈資源回收站,信義區,63000020,臺北市信義區忠孝東路五段800號
45,震大華玉大廈資源回收站,中正區,63000050,臺北市中正區忠孝東路一段45號
46,愛菲爾大廈資源回收站,大安區,63000030,臺北市大安區信義路三段7號
47,麗水松園大廈資源回收站,大安區,63000030,臺北市大安區麗水街34號
48,維多利亞大廈資源回收站,信義區,63000020,臺北市信義區松勤街140巷6號
49,福全新大樓資源回收站,中山區,63000040,臺北市中山區民權東路二段69號
50,師大SOFA-A區資源回收站,大安區,63000030,臺北市大安區師大路105巷18號
51,師大SOFA-B區資源回收站,大安區,63000030,臺北市大安區師大路105巷18號
52,康和國際資源回收站,信義區,63000020,臺北市信義區基隆路1段176號
53,國庭大廈資源回收站,中正區,63000050,臺北市中正區忠孝東路2段24號
54,北歐大廈資源回收站,大安區,63000030,臺北市大安區仁愛路4段232號
55,文化京都資源回收站,大同區,63000060,臺北市大同區太原路155號
56,啟鴻大廈A區資源回收站,中山區,63000040,臺北市中山區建國北路3段55號
57,啟鴻大廈B區資源回收站,中山區,63000040,臺北市中山區建國北路3段55號
58,來來華廈資源回收站,中正區,63000050,臺北市中正區青島東路4號
59,紡織大樓A區資源回收站,中正區,63000050,臺北市中正區青島東路5號3樓
60,紡織大樓B區資源回收站,中正區,63000050,臺北市中正區青島東路5號3樓
61,景涵社區資源回收站,文山區,63000080,臺北市文山區忠順街一段9巷22弄2號
62,信義華府資源回收站A,大安區,63000030,臺北市大安區信義路二段132號到142號
63,信義華府資源回收站B,大安區,63000030,臺北市大安區信義路二段132號到142號
