serialnumber,name,address,phone,latitude,longitude,note,county,town,village
,台北六福萬怡酒店,臺北市南港區忠孝東路七段359號7至30樓,(02)66156565#5000,25.0520254,121.6062917,銀級環保旅宿,臺北市,南港區,-
,台北艾麗酒店,臺北市信義區松高路18號,(02)66318031,25.038696,121.5673934,金級環保旅宿,臺北市,信義區,-
,捷絲旅臺大尊賢館,臺北市大安區羅斯福路四段83號1-10樓,(02)77355088,25.0133643,121.5362346,銀級環保旅宿,臺北市,大安區,-
,板橋凱撒大飯店,新北市板橋區縣民大道二段8號,(02)29583000#7701,25.0117403,121.4627243,金級環保旅宿,新北市,板橋區,-
,陽明山天籟渡假酒店,新北市金山區名流路1之6號、1之7號、1之9號、1之9號5樓及1之9號5樓之1至之8,(02)24080400#1700,25.2020308,121.5953242,銀級環保旅宿,新北市,金山區,-
,神隱國度民宿,新北市瑞芳區崙頂路90號,(09)05788650,25.1072814,121.8457027,銅級環保旅宿,新北市,瑞芳區,-
,海霞您的家,新北市貢寮區仁里里14鄰仁愛路38號,(09)35204895,25.0531773,121.9251912,銅級環保旅宿,新北市,貢寮區,-
,旅行邦尼,新北市淡水區中山路87巷7號,(09)28824850,25.170282,121.442423,銅級環保旅宿,新北市,淡水區,-
,海灣假日酒店,新北市深坑區北深路3段265號,(02)77035880,25.0041768,121.5985799,銀級環保旅宿,新北市,深坑區,-
,八里福朋喜來登酒店,新北市八里區觀海大道8號,(02)26192777#2602,25.1593548,121.4296176,銀級環保旅宿,新北市,八里區,-
,薆悅酒店野柳渡假館一館,新北市萬里區野柳里港東路162號之2,(02)77035770#623,25.2044534,121.6900049,銅級環保旅宿,新北市,萬里區,-
,台北旅人國際青年旅館,新北市淡水區三民街22、22之1、22之2、22之3、22之4號,(02)26258222,25.17168,121.4390157,銅級環保旅宿,新北市,淡水區,-
,台北萬豪酒店,臺北市中山區樂群二路199號,(02)21757999#1701,25.0804289,121.5592994,銀級環保旅宿,臺北市,中山區,-
,南港老爺行旅,臺北市南港區經貿二路196號、196號10樓至20樓,(02)77500588,25.0598044,121.6147949,銀級環保旅宿,臺北市,南港區,-
,美侖商旅,臺北市中山區吉林路49號1至8樓,(02)25313535#878,25.0531131,121.530377,銀級環保旅宿,臺北市,中山區,-
,"福容大飯店 淡水漁人碼頭",新北市淡水區觀海路83號,"(02)2805 9958#8178",25.1824319,121.4151708,金級環保旅宿,新北市,淡水區,-
,台北中山雅樂軒酒店,臺北市中山區雙城街1號,(02)77439900,25.063034,121.5244775,銀級環保旅宿,臺北市,中山區,-
,福華大飯店,臺北市大安區仁愛路三段160號,(02)27002323#2411,25.0374704,121.5433012,銀級環保旅宿,臺北市,大安區,-
,台北西門町意舍酒店,臺北市萬華區武昌街2段77號5樓至10樓,(02)23755111#2100,25.0451667,121.5055703,銀級環保旅宿,臺北市,萬華區,-
,長榮桂冠酒店(台北),臺北市中山區松江路63號,(02)25019988#2701,25.0488724,121.5333295,金級環保旅宿,臺北市,中山區,-
,捷絲旅台北三重館,新北市三重區三和路四段107-1號,(02)22806111#8304,25.0773891,121.487597,銀級環保旅宿,新北市,三重區,-
,台北君品大酒店,臺北市大同區承德路1段3號1樓、5樓~16樓及地下1樓、地下3樓,(02)21819999#3142,25.0521949,121.5202958,金級環保旅宿,臺北市,大同區,-
,亞昕福朋喜來登酒店,新北市林口區文化三路一段1號、1號2樓、1號3樓,(02)77276961,25.0661946,121.3608451,銀級環保旅宿,新北市,林口區,-
