restid,name,address,phone,mobile,latitude,longitude,city
5817,"一品活蝦 市民店",臺北市松山區市民大道四段145號,02-25776662#,,25.0448506,121.5508081,臺北市
5816,一品活蝦市府店,臺北市信義區忠孝東路五段195號,02-27560028#,,25.0411985,121.5695215,臺北市
5790,瓦城泰國料理板橋遠百店,新北市板橋區中山路一段152號13樓,02-29589133#,,25.0367556,121.5679505,新北市
5789,北投國華高爾夫俱樂部餐廳,新北市淡水區坪頂里小坪頂23-1號,02-86261281#,,25.159494,121.483954,新北市
5788,四川吳抄手,臺北市信義區松仁路58號四樓402櫃位,02-87862426#,0925620655,25.0367556,121.5679505,臺北市
5639,長浜魚屋,臺北市信義區松仁路58號B3,-#,0919236144,25.0368519,121.5677823,臺北市
5638,季樂A13,臺北市信義區松仁路58號B3,02-27588268#,,25.0368519,121.5677823,臺北市
5635,海霸王餐廳股份有限公司海山分公司,新北市土城區中央路一段22號,02-22664835#,0916236928,24.9912453,121.4483639,新北市
5631,"sugar miss","臺北市大安區光復南路290巷4號1 樓",02-27715320#,,25.0394481,121.5568772,臺北市
5420,故宮晶華,臺北市士林區至善路二段221號,02-28829393#,,25.1001805,121.5488112,臺北市
5415,鴻海精密虎躍廠員工餐廳,新北市土城區自由街2號,02-22683466#501011040,0955634906,24.966259,121.4214111,新北市
5414,掌門精釀啤酒餐廳大巨蛋店,臺北市信義區忠孝東路四段515號,02-23223066#,,25.0424367,121.5595066,臺北市
5263,董月花早餐店,臺北市萬華區萬大路67號,02-23087999#,,25.0307602,121.5007623,臺北市
5148,湊湊火鍋•茶憩,臺北市信義區忠孝東路四段515號,02-27566986#,,25.0424367,121.5595066,臺北市
5118,"上樓看看 咖啡",臺北市信義區忠孝東路五段165巷3弄6號,02-87871782#,,25.0414615,121.5689714,臺北市
5116,"技固帕串燒酒家 CHIKUPA Izakaya",臺北市大安區市民大道四段66號,02-27419335#,,25.044862,121.5469968,臺北市
5103,"Pan House Wine & Bistro",臺北市大安區延吉街131巷9號,02-27312465#,,25.042747,121.554754,臺北市
5102,內湖光寶大樓員工餐廳,臺北市內湖區瑞光路392號,02-87982888#6934,,25.077819,121.5711666,臺北市
5099,"放 Fun Dining串燒酒肴",臺北市信義區嘉興街70-3號1樓,02-27201500#,,25.0309146,121.5578467,臺北市
5095,"DEC Taipei",臺北市大安區忠孝東路4段223巷63號,-#,0912862769,25.0436068,121.5529,臺北市
5093,十八居酒棧,臺北市大安區忠孝東路四段248巷17號,-#,0920755291,25.0402281,121.5541651,臺北市
5020,Rodeo,臺北市中正區杭州南路一段12號,02-23933608#,,25.0401193,121.52565,臺北市
4925,"沙巴家 新北板橋店",新北市板橋區懷德街65號,-#,0926656376,25.0324074,121.4775087,新北市
4923,好滴咖啡,臺北市南港區忠孝東路七段371號B棟B1,02-27648181#,,25.0528955,121.6072597,臺北市
4911,"星馬快餐 台北南港環球百貨門市",臺北市南港區忠孝東路七段371號B1櫃位B116,-#,0926656376,25.0528955,121.6072597,臺北市
4910,"星馬快餐 新北新莊門市",新北市新莊區中平路138號1F,-#,0926656376,25.046919,121.44494,新北市
4909,星馬快餐台北大安店,臺北市大安區復興南路一段107巷25號1F,-#,0926656376,25.0437425,121.5455449,臺北市
4869,"Drink store水雲朵臺灣大學店",臺北市大安區羅斯福路4段1號（台大第一學生活動中心餐廳）,02-23661686#,,25.0173405,121.5397518,臺北市
4868,天津蔥抓餅,臺北市大安區基隆路四段43號B1,02-27382936#,,25.0138401,121.5428657,臺北市
4867,雞同鴨講,臺北市大安區基隆路四段43號B1,02-27382936#,,25.0138401,121.5428657,臺北市
4865,茶覺,臺北市大安區基隆路四段43號B1,02-27382936#,,25.0138401,121.5428657,臺北市
4862,京都日式料理,臺北市大安區基隆路四段43號B1,02-27382936#,,25.0138401,121.5428657,臺北市
4860,八方雲集台科大店,臺北市大安區基隆路四段43號B1,02-27382936#,,25.0138401,121.5428657,臺北市
4859,"Supreme beans coffee Taipei",臺北市中正區汀州路二段293號1樓,02-23678745#,,25.0219509,121.5245435,臺北市
4858,重順川菜餐廳,臺北市中正區羅斯福路三段316巷8弄3-2號,02-23684549#,,25.0157178,121.5326358,臺北市
4843,御便當,臺北市大安區基隆路四段43號,02-27382936#,,25.0128577,121.5427043,臺北市
4842,高麗元韓式料理,臺北市大安區基隆路四段43號,02-27382936#,,25.0128577,121.5427043,臺北市
4840,七樂燒臘,臺北市大安區基隆路四段43號,02-27382936#,,25.0128577,121.5427043,臺北市
4839,黑丸關東煮,臺北市中正區羅斯福路四段136巷1弄7號,-#,0978511951,25.0129102,121.5355257,臺北市
4837,白帝城川式滷味,臺北市中正區羅斯福路四段136巷8號,-#,0952368865,25.0126133,121.5354822,臺北市
4802,"TWG Tea",臺北市信義區市府路45號5樓,02-87891837#,,25.0334929,121.564101,臺北市
4801,凱林鐵板燒台北101店,臺北市信義區市府路45號B1樓,02-81018285#,,25.0338492,121.5643085,臺北市
4689,明志科技大學學生餐廳,新北市泰山區工專路84號,02-29083309#,,25.04329274,121.42302122,新北市
4645,"咖啡休日 Day off. - 手沖咖啡專門店",臺北市中正區羅斯福路四段136巷6弄23號,02-23689841#,,25.0122635,121.5358449,臺北市
4644,京阪豚骨拉麵,臺北市中正區汀州路三段104巷9號,02-23640605#,,25.0138878,121.5334094,臺北市
4641,普橘島,臺北市內湖區瑞湖街111號,02-26588866#1485,,25.0716583,121.5764728,臺北市
4440,友信海鮮餐廳,新北市瑞芳區深澳路189之7號,02-24977777#,,25.1342685,121.8205249,新北市
3962,海底撈火鍋,臺北市信義區松智路17號2B,02-87801855#,,25.0343073,121.5659555,臺北市
3917,彰化商業銀行員工餐廳,臺北市中山區中山北路二段57號13樓,-#,0912525473,25.0553814,121.5232167,臺北市
3781,"米炭火燒肉小酒館 迴龍店",新北市新莊區新北市新莊區中正路891-17號,02-29088787,0935126657,25.0223036,121.4129442,新北市
3759,黑毛屋大直忠泰店,臺北市中正區樂群三路200號5樓,02-85025991#,,25.0822446,121.5570625,臺北市
3755,老乾杯大直忠泰店,臺北市中山區樂群三路200號5樓,02-85025551#,,25.0822446,121.5570625,臺北市
3751,博多天麩羅山海,臺北市信義區忠孝東路五段8號B2,02-27231885#,,25.0408461,121.5653962,臺北市
3684,頑童茶館,新北市新莊區四維路97巷16號1樓,02-82015788#,0913710204,25.0234582,121.4237188,新北市
3682,"Coming Bistro",臺北市松山區光復南路55號1樓,02-27479225#,,25.045903,121.5580267,臺北市
3681,九湯屋日本拉麵(台北南京店),臺北市中山區南京東路一段132巷33號,02-25813100#,,25.050578,121.5269515,臺北市
3680,大吃一斤活蝦餐廳,新北市三重區自強路一段222號,-#,0975147848,25.0666573,121.4938367,新北市
3679,鳥作洋食,臺北市信義區忠孝東路四段553巷16弄2號1樓,02-27567966#,0987941819,25.0426146,121.5630504,臺北市
3675,紫緹麵食館,新北市新莊區民安東路37號,02-22029635#,0935231481,25.0210285,121.4288653,新北市
3528,咖食堂,臺北市中正區八德路1段82巷9弄13號,02-23965252#,0926354984,25.0500353,121.5650865,臺北市
